python,r,test_case,python_result,r_result,overall,row_diff,col_diff,semantic_score,largest_common,edit_distance
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
","col0,col3
0.0,2.0
1.0,5.0
1.0,5.0
,
5.0,2.0
2.0,7.0
8.0,1.0
",0.17857142857142858,0.714,0.5,0.5,"Row: 2:6, Col: 0:1",0.375
df.head(),"df[c(""col1"")]",,,,0.128,,,,,0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col1
5
3
",0.25,1.0,0.25,1.0,"Row: 0:1, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col1
1.0
""""
3.0
3.0
0.0
2.0
4.0
6.0
3.0
",0.11111111111111112,0.556,0.25,0.8,"Row: 4:8, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
1,6.0,ID_0,2.0
4,0.0,ID_3,4.0
1,2.0,ID_5,
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
","col1
6.0
8.0
2.0
4.0
3.0
""""
5.0
6.0
0.0
2.0
",0.125,0.5,0.25,1.0,"Row: 5:9, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
","col1
""""
",0.0,1.0,0.25,0.0,"Row: 0:0, Col: 0:0",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
3,,ID_5,3
7,5.0,ID_5,6
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
","col1
1.0
1.0
0.0
0.0
4.0
2.0
5.0
""""
5.0
",0.1388888888888889,0.556,0.25,1.0,"Row: 4:8, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
","col1
7
",0.25,1.0,0.25,1.0,"Row: 0:0, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
","col1
""""
",0.0,1.0,0.25,0.0,"Row: 0:0, Col: 0:0",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
8,,ID_5,7.0
9,3.0,ID_8,4.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
","col1
4.0
7.0
0.0
8.0
4.0
5.0
8.0
""""
3.0
",0.1388888888888889,0.556,0.25,1.0,"Row: 4:8, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
,5.0,ID_2,1.0
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
","col1
0.0
6.0
""""
8.0
0.0
0.0
""""
5.0
",0.125,0.625,0.25,0.8,"Row: 3:7, Col: 1:1",0.584
df.head(),"df[c(""col1"")]","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
","col1
1.0
5.0
4.0
8.0
""""
1.0
4.0
",0.14285714285714288,0.714,0.25,0.8,"Row: 2:6, Col: 1:1",0.584
df.head(),"df[1:7, ]",,,,0.5,,,,,0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
",0.2857142857142857,0.286,1.0,1.0,"Row: 0:1, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
1,6.0,ID_0,2.0
4,0.0,ID_3,4.0
1,2.0,ID_5,
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
",0.14285714285714285,0.143,1.0,1.0,"Row: 0:0, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
3,,ID_5,3
7,5.0,ID_5,6
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
-2147483648,-2147483648,NA,-2147483648
",0.14285714285714285,0.143,1.0,1.0,"Row: 0:0, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
-2147483648,,NA,-2147483648
",0.14285714285714285,0.143,1.0,1.0,"Row: 0:0, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
8,,ID_5,7.0
9,3.0,ID_8,4.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
,5.0,ID_2,1.0
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"df[1:7, ]","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
",0.7142857142857143,0.714,1.0,1.0,"Row: 0:4, Col: 0:3",0.491
df.head(),"select(df, col1:col3)",,,,0.563,,,,,0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col1,col2,col3
5,ID_3,7
3,ID_8,8
",0.75,1.0,0.75,1.0,"Row: 0:1, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col1,col2,col3
1.0,ID_2,6
,ID_5,2
3.0,ID_6,3
3.0,ID_8,5
0.0,ID_7,5
2.0,,5
4.0,ID_0,3
6.0,ID_8,4
3.0,ID_7,2
",0.4166666666666667,0.556,0.75,1.0,"Row: 4:8, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
1,6.0,ID_0,2.0
4,0.0,ID_3,4.0
1,2.0,ID_5,
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
","col1,col2,col3
6.0,ID_2,0.0
8.0,ID_3,
2.0,ID_5,1.0
4.0,ID_8,4.0
3.0,,7.0
,ID_8,5.0
5.0,ID_8,2.0
6.0,ID_0,2.0
0.0,ID_3,4.0
2.0,ID_5,
",0.375,0.5,0.75,1.0,"Row: 5:9, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
","col1,col2,col3
,ID_3,3
",0.75,1.0,0.75,1.0,"Row: 0:0, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
3,,ID_5,3
7,5.0,ID_5,6
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
","col1,col2,col3
1.0,ID_2,3
1.0,ID_8,7
0.0,ID_2,1
0.0,ID_8,7
4.0,ID_3,8
2.0,ID_3,1
5.0,ID_6,2
,ID_5,3
5.0,ID_5,6
",0.4166666666666667,0.556,0.75,1.0,"Row: 4:8, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
","col1,col2,col3
7,ID_4,3
",0.75,1.0,0.75,1.0,"Row: 0:0, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
","col1,col2,col3
,ID_0,5
",0.75,1.0,0.75,1.0,"Row: 0:0, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
8,,ID_5,7.0
9,3.0,ID_8,4.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
","col1,col2,col3
4.0,,6.0
7.0,ID_8,4.0
0.0,ID_5,3.0
8.0,,5.0
4.0,ID_2,3.0
5.0,ID_4,8.0
8.0,ID_7,
,ID_5,7.0
3.0,ID_8,4.0
",0.4166666666666667,0.556,0.75,1.0,"Row: 4:8, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
,5.0,ID_2,1.0
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
","col1,col2,col3
0.0,ID_0,1.0
6.0,ID_3,
,ID_8,
8.0,ID_1,1.0
0.0,ID_3,
0.0,,4.0
,ID_2,5.0
5.0,ID_2,1.0
",0.46875,0.625,0.75,1.0,"Row: 3:7, Col: 1:3",0.383
df.head(),"select(df, col1:col3)","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
","col1,col2,col3
1.0,ID_8,2.0
5.0,,5.0
4.0,ID_5,5.0
8.0,,
,ID_8,2.0
1.0,ID_8,7.0
4.0,ID_5,1.0
",0.5357142857142857,0.714,0.75,1.0,"Row: 2:6, Col: 1:3",0.383
df.head(),"select(df, col1, col2)",,,,0.375,,,,,0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col1,col2
5,ID_3
3,ID_8
",0.5,1.0,0.5,1.0,"Row: 0:1, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col1,col2
1.0,ID_2
,ID_5
3.0,ID_6
3.0,ID_8
0.0,ID_7
2.0,
4.0,ID_0
6.0,ID_8
3.0,ID_7
",0.2777777777777778,0.556,0.5,1.0,"Row: 4:8, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
1,6.0,ID_0,2.0
4,0.0,ID_3,4.0
1,2.0,ID_5,
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
","col1,col2
6.0,ID_2
8.0,ID_3
2.0,ID_5
4.0,ID_8
3.0,
,ID_8
5.0,ID_8
6.0,ID_0
0.0,ID_3
2.0,ID_5
",0.25,0.5,0.5,1.0,"Row: 5:9, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
","col1,col2
,ID_3
",0.5,1.0,0.5,1.0,"Row: 0:0, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
3,,ID_5,3
7,5.0,ID_5,6
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
","col1,col2
1.0,ID_2
1.0,ID_8
0.0,ID_2
0.0,ID_8
4.0,ID_3
2.0,ID_3
5.0,ID_6
,ID_5
5.0,ID_5
",0.2777777777777778,0.556,0.5,1.0,"Row: 4:8, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
","col1,col2
7,ID_4
",0.5,1.0,0.5,1.0,"Row: 0:0, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
","col1,col2
,ID_0
",0.5,1.0,0.5,1.0,"Row: 0:0, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
8,,ID_5,7.0
9,3.0,ID_8,4.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
","col1,col2
4.0,
7.0,ID_8
0.0,ID_5
8.0,
4.0,ID_2
5.0,ID_4
8.0,ID_7
,ID_5
3.0,ID_8
",0.2777777777777778,0.556,0.5,1.0,"Row: 4:8, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
,5.0,ID_2,1.0
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
","col1,col2
0.0,ID_0
6.0,ID_3
,ID_8
8.0,ID_1
0.0,ID_3
0.0,
,ID_2
5.0,ID_2
",0.3125,0.625,0.5,1.0,"Row: 3:7, Col: 1:2",0.383
df.head(),"select(df, col1, col2)","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
2.0,1.0,ID_8,7.0
8.0,4.0,ID_5,1.0
","col0,col1,col2,col3
0.0,1.0,ID_8,2.0
1.0,5.0,,5.0
1.0,4.0,ID_5,5.0
,8.0,,
5.0,,ID_8,2.0
","col1,col2
1.0,ID_8
5.0,
4.0,ID_5
8.0,
,ID_8
1.0,ID_8
4.0,ID_5
",0.35714285714285715,0.714,0.5,1.0,"Row: 2:6, Col: 1:2",0.383
df.head(),"distinct(select(df, col1, col2))",,,,0.392,,,,,0.43
df.head(),"distinct(select(df, col1, col2))","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col1,col2
5,ID_3
3,ID_8
",0.5,1.0,0.5,1.0,"Row: 0:1, Col: 1:2",0.43
df.head(),"distinct(select(df, col1, col2))","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col1,col2
1.0,ID_2
,ID_5
3.0,ID_6
3.0,ID_8
0.0,ID_7
2.0,
4.0,ID_0
6.0,ID_8
3.0,ID_7
",0.2777777777777778,0.556,0.5,1.0,"Row: 4:8, Col: 1:2",0.43
