Python,R,Python result,R result,Overall,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
"mslacc.sort_values(['col1', 'col2'])","filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.621
"mslacc.drop(['col1', 'col2'], axis=1)","select(mslacc, -c(col1, col2))","   col0  col3
0     2     2
1     0     8
2     9     8
3     0     6
4     0     8
5     0     7
6     7     7
7     1     8
8     9     1","   col0  col3
0     2     2
1     0     8
2     9     8
3     0     6
4     0     8
5     0     7
6     7     7
7     1     8
8     9     1",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:1",0.571
mslacc[['col1']].drop_duplicates(),"distinct(select(mslacc, col1))","   col1
0     7
1     3
3     2
5     8
6     6
8     0","   col1
1     7
2     3
3     2
4     8
5     6
6     0",1.0,1.0,1.0,1.0,"Row: 0:5, Col: 0:0",0.524
"mslacc.loc[:, 'col1':'col3']","select(mslacc, col1:col3)","   col1  col2  col3
0     7  ID_3     2
1     3  ID_8     8
2     3  ID_0     8
3     2  ID_4     6
4     7  ID_0     8
5     8  ID_4     7
6     6  ID_2     7
7     6  ID_0     8
8     0  ID_7     1","   col1  col2  col3
0     7  ID_3     2
1     3  ID_8     8
2     3  ID_0     8
3     2  ID_4     6
4     7  ID_0     8
5     8  ID_4     7
6     6  ID_2     7
7     6  ID_0     8
8     0  ID_7     1",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:2",0.657
mslacc[['col1']].shape,"dim(mslacc[c(""col1"")])","[9, 1]",[9 1],1.0,,,1.0,,0.697
mslacc[['col1']].shape,"mslacc[[""col1""]]","[1, 1]",[1 1],1.0,,,1.0,,0.837
mslacc.iloc[:7],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.493
mslacc.iloc[:7],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.483
mslacc.iloc[:7],"mslacc[1:7, ]","   col0  col1  col2  col3
0     2     7  ID_3     2
1     0     3  ID_8     8
2     9     3  ID_0     8
3     0     2  ID_4     6
4     0     7  ID_0     8
5     0     8  ID_4     7
6     7     6  ID_2     7","   col0  col1  col2  col3
0     2     7  ID_3     2
1     0     3  ID_8     8
2     9     3  ID_0     8
3     0     2  ID_4     6
4     0     7  ID_0     8
5     0     8  ID_4     7
6     7     6  ID_2     7",1.0,1.0,1.0,1.0,"Row: 0:6, Col: 0:3",0.833
mslacc.iloc[:7],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.593
mslacc.iloc[:7],head(mslacc),"   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3","   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3",1.0,1.0,1.0,1.0,"Row: 0:4, Col: 0:3",0.522
mslacc.iloc[:7],"filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.5
"mslacc.loc[1:2, ('col1')]","dim(mslacc[c(""col1"")])","1    2
2    1
Name: col1, dtype: int64",[2 1],1.0,,,1.0,,0.691
"mslacc.loc[1:2, ('col1')]",dim(mslacc),"1    4
2    4
Name: col1, dtype: int64",[4 4],1.0,,,1.0,,0.598
"mslacc.loc[1:2, ('col1')]","mslacc[2, ""col1""]","1    3
Name: col1, dtype: int64",[3],1.0,,,1.0,,0.736
"mslacc.loc[1:2, ('col1')]","mslacc[[""col1""]]","1    4
2    4
Name: col1, dtype: int64",[4 4],1.0,,,1.0,,0.694
mslacc.head(),"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.428
mslacc.head(),"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.453
mslacc.head(),"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.574
mslacc.head(),head(mslacc),"   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3","   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3",1.0,1.0,1.0,1.0,"Row: 0:4, Col: 0:3",0.615
mslacc.head(),"filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.461
"mslacc[['col1', 'col2']].drop_duplicates()","distinct(select(mslacc, col1, col2))","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7","   col1  col2
1     7  ID_3
2     3  ID_8
3     3  ID_0
4     2  ID_4
5     7  ID_0
6     8  ID_4
7     6  ID_2
8     6  ID_0
9     0  ID_7",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:1",0.517
"mslacc[['col1', 'col2']].drop_duplicates()","select(mslacc, col1, col2)","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:1",0.519
mslacc.query('col1 == 1 & col3 == 1'),"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.655
mslacc.query('col1 == 1 & col3 == 1'),"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.542
mslacc.query('col1 == 1 & col3 == 1'),"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.656
mslacc.query('col1 == 1 & col3 == 1'),head(mslacc),"   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.453
mslacc.query('col1 == 1 & col3 == 1'),"filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.726
"mslacc.sort_values('col1', ascending=False)","arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.55
"mslacc.sort_values('col1', ascending=False)","arrange(mslacc, desc(col1))","   col0  col1  col2  col3
5     0     8  ID_4     7
0     2     7  ID_3     2
4     0     7  ID_0     8
6     7     6  ID_2     7
7     1     6  ID_0     8
1     0     3  ID_8     8
2     9     3  ID_0     8
3     0     2  ID_4     6
8     9     0  ID_7     1","   col0  col1  col2  col3
1     0     8  ID_4     7
2     2     7  ID_3     2
3     0     7  ID_0     8
4     7     6  ID_2     7
5     1     6  ID_0     8
6     0     3  ID_8     8
7     9     3  ID_0     8
8     0     2  ID_4     6
9     9     0  ID_7     1",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:3",0.55
"mslacc.sort_values('col1', ascending=False)","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.568
"mslacc.sort_values('col1', ascending=False)",head(mslacc),"   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
0     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.417
"mslacc.sort_values('col1', ascending=False)","filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.598
mslacc.shape,dim(mslacc),"[9, 4]",[9 4],1.0,,,1.0,,0.682
mslacc.shape,"mslacc[[""col1""]]","[4, 4]",[4 4],1.0,,,1.0,,0.625
mslacc.iloc[:8],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.493
mslacc.iloc[:8],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.483
mslacc.iloc[:8],"mslacc[1:7, ]","   col0  col1  col2  col3
0     2     5  ID_2     7
1     1     7  ID_8     1
2     7     6  ID_4     7
3     8     7  ID_5     4
4     5     1  ID_0     7
5     9     0  ID_7     5
6     0     1  ID_8     6","   col0  col1  col2  col3
0     2     5  ID_2     7
1     1     7  ID_8     1
2     7     6  ID_4     7
3     8     7  ID_5     4
4     5     1  ID_0     7
5     9     0  ID_7     5
6     0     1  ID_8     6",1.0,1.0,1.0,1.0,"Row: 0:6, Col: 0:3",0.783
mslacc.iloc[:8],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.593
mslacc.iloc[:8],head(mslacc),"   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3","   col0  col1  col2  col3
0     6     2  ID_2     1
1     4     8  ID_5     0
2     3     6  ID_8     6
3     2     4  ID_2     4
4     0     6  ID_6     3",1.0,1.0,1.0,1.0,"Row: 0:4, Col: 0:3",0.522
mslacc.iloc[:8],"mslacc[1:8, ]","   col0  col1  col2  col3
0     2     7  ID_3     2
1     0     3  ID_8     8
2     9     3  ID_0     8
3     0     2  ID_4     6
4     0     7  ID_0     8
5     0     8  ID_4     7
6     7     6  ID_2     7
7     1     6  ID_0     8","   col0  col1  col2  col3
0     2     7  ID_3     2
1     0     3  ID_8     8
2     9     3  ID_0     8
3     0     2  ID_4     6
4     0     7  ID_0     8
5     0     8  ID_4     7
6     7     6  ID_2     7
7     1     6  ID_0     8",1.0,1.0,1.0,1.0,"Row: 0:7, Col: 0:3",0.833
mslacc.iloc[:8],"filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.5
"mslacc[['col1', 'col2']]","distinct(select(mslacc, col1, col2))","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7","   col1  col2
1     7  ID_3
2     3  ID_8
3     3  ID_0
4     2  ID_4
5     7  ID_0
6     8  ID_4
7     6  ID_2
8     6  ID_0
9     0  ID_7",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:1",0.51
"mslacc[['col1', 'col2']]","select(mslacc, col1, col2)","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7","   col1  col2
0     7  ID_3
1     3  ID_8
2     3  ID_0
3     2  ID_4
4     7  ID_0
5     8  ID_4
6     6  ID_2
7     6  ID_0
8     0  ID_7",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:1",0.604
mslacc[['col1']],"distinct(select(mslacc, col1))","   col1
0     2","   col1
1     2",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:0",0.379
