python,r,overall,edit_distance
df.query('col1<5').head(),"df[1:7, ]",0.315,0.443
df.query('col1<5').head(),"select(df, col1:col3)",0.247,0.492
df[['col1']],"slice(df, 1:8)",0.174,0.467
df[['col1']],"slice(df, 1:7)",0.164,0.467
df[['col1']],"select(df, col1, col2)",0.449,0.386
df[['col1']],"distinct(select(df, col1, col2))",0.388,0.45
df[['col1']],head(df),0.152,0.403
df[['col1']],"df[1:5, 1:3]",0.155,0.624
df[['col1']],"df[c(""col1"")]",1.0,0.761
df[['col1']],"df[1:8, ]",0.133,0.611
df[['col1']],"distinct(select(df, col1))",0.518,0.457
df[['col1']],"df[1:7, ]",0.13,0.611
df[['col1']],"select(df, col1:col3)",0.299,0.386
"df.loc[1:2, ('col1')]","df[2:3, ""col1""]",0.945,0.657
"df.loc[1:2, ('col1')]",mean(df$col1),0.105,0.526
"df.loc[1:2, ('col1')]",df$col1[df$col3 == 1],0.122,0.688
"df.loc[1:2, ('col1')]","df[df$col3 == 1, ]$col1",0.122,0.651
df.iloc[:7],"slice(df, 1:8)",0.926,0.53
df.iloc[:7],"slice(df, 1:7)",1.0,0.606
df.iloc[:7],"arrange(df, desc(col1))",0.273,0.0
df.iloc[:7],"select(df, col1, col2)",0.361,0.363
df.iloc[:7],"df[order(-df$col1), ]",0.273,0.438
df.iloc[:7],"df[order(df$col1, df$col2), ]",0.262,0.447
df.iloc[:7],"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.155,0.451
df.iloc[:7],"distinct(select(df, col1, col2))",0.353,0.458
df.iloc[:7],head(df),0.905,0.405
df.iloc[:7],"df[1:5, 1:3]",0.529,0.636
df.iloc[:7],"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.146,0.467
df.iloc[:7],"df[c(""col1"")]",0.164,0.63
df.iloc[:7],"head(subset(df, col1<5))",0.387,0.378
df.iloc[:7],"df[1:8, ]",0.747,0.621
df.iloc[:7],"distinct(select(df, col1))",0.132,0.464
df.iloc[:7],"select(df, -c(col1, col2))",0.186,0.422
df.iloc[:7],"arrange(df, col1, col2)",0.262,0.38
df.iloc[:7],"df[1:7, ]",0.854,0.693
df.iloc[:7],"select(df, col1:col3)",0.542,0.438
df.shape,"dim(df[c(""col1"")])",0.5,0.454
df.shape,dim(df),1.0,0.512
"df.loc[:, 'col1':'col3']","slice(df, 1:8)",0.575,0.448
"df.loc[:, 'col1':'col3']","slice(df, 1:7)",0.542,0.448
"df.loc[:, 'col1':'col3']","arrange(df, desc(col1))",0.211,0.529
"df.loc[:, 'col1':'col3']","select(df, col1, col2)",0.667,0.554
"df.loc[:, 'col1':'col3']","df[order(-df$col1), ]",0.211,0.528
"df.loc[:, 'col1':'col3']","df[order(df$col1, df$col2), ]",0.199,0.58
"df.loc[:, 'col1':'col3']","distinct(select(df, col1, col2))",0.574,0.494
"df.loc[:, 'col1':'col3']",head(df),0.5,0.389
"df.loc[:, 'col1':'col3']","df[c(""col1"")]",0.299,0.55
"df.loc[:, 'col1':'col3']","head(subset(df, col1<5))",0.254,0.489
"df.loc[:, 'col1':'col3']","df[1:8, ]",0.441,0.614
"df.loc[:, 'col1':'col3']","distinct(select(df, col1))",0.156,0.436
"df.loc[:, 'col1':'col3']","select(df, -c(col1, col2))",0.308,0.549
"df.loc[:, 'col1':'col3']","arrange(df, col1, col2)",0.199,0.504
"df.loc[:, 'col1':'col3']","df[1:7, ]",0.432,0.614
"df.loc[:, 'col1':'col3']","select(df, col1:col3)",1.0,0.627
"df.sort_values('col1', ascending=False, kind='mergesort')","slice(df, 1:8)",0.276,0.262
"df.sort_values('col1', ascending=False, kind='mergesort')","slice(df, 1:7)",0.273,0.262
"df.sort_values('col1', ascending=False, kind='mergesort')","arrange(df, desc(col1))",1.0,0.455
"df.sort_values('col1', ascending=False, kind='mergesort')","select(df, col1, col2)",0.143,0.485
"df.sort_values('col1', ascending=False, kind='mergesort')","df[order(-df$col1), ]",1.0,0.508
"df.sort_values('col1', ascending=False, kind='mergesort')","df[order(df$col1, df$col2), ]",0.261,0.509
"df.sort_values('col1', ascending=False, kind='mergesort')","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.115,0.463
"df.sort_values('col1', ascending=False, kind='mergesort')","distinct(select(df, col1, col2))",0.148,0.508
"df.sort_values('col1', ascending=False, kind='mergesort')",head(df),0.266,0.381
"df.sort_values('col1', ascending=False, kind='mergesort')","df[1:5, 1:3]",0.17,0.406
"df.sort_values('col1', ascending=False, kind='mergesort')","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.113,0.42
"df.sort_values('col1', ascending=False, kind='mergesort')","head(subset(df, col1<5))",0.259,0.454
"df.sort_values('col1', ascending=False, kind='mergesort')","df[1:8, ]",0.211,0.429
"df.sort_values('col1', ascending=False, kind='mergesort')","df[is.na(df$col1), ]",0.102,0.487
"df.sort_values('col1', ascending=False, kind='mergesort')","arrange(df, col1, col2)",0.261,0.474
"df.sort_values('col1', ascending=False, kind='mergesort')","df[1:7, ]",0.216,0.429
"df.sort_values('col1', ascending=False, kind='mergesort')","select(df, col1:col3)",0.211,0.462
"df.drop(['col1', 'col2'], axis=1)","slice(df, 1:8)",0.197,0.385
"df.drop(['col1', 'col2'], axis=1)","slice(df, 1:7)",0.186,0.385
"df.drop(['col1', 'col2'], axis=1)",head(df),0.172,0.379
"df.drop(['col1', 'col2'], axis=1)","df[1:5, 1:3]",0.169,0.498
"df.drop(['col1', 'col2'], axis=1)","df[1:8, ]",0.152,0.438
"df.drop(['col1', 'col2'], axis=1)","select(df, -c(col1, col2))",1.0,0.524
"df.drop(['col1', 'col2'], axis=1)","df[1:7, ]",0.148,0.438
"df.drop(['col1', 'col2'], axis=1)","select(df, col1:col3)",0.308,0.468
"df.sort_values('col1', ascending=False)","slice(df, 1:8)",0.277,0.27
"df.sort_values('col1', ascending=False)","slice(df, 1:7)",0.274,0.27
"df.sort_values('col1', ascending=False)","arrange(df, desc(col1))",0.969,0.49
"df.sort_values('col1', ascending=False)","select(df, col1, col2)",0.143,0.523
"df.sort_values('col1', ascending=False)","df[order(-df$col1), ]",0.969,0.537
"df.sort_values('col1', ascending=False)","df[order(df$col1, df$col2), ]",0.26,0.55
"df.sort_values('col1', ascending=False)","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.115,0.466
"df.sort_values('col1', ascending=False)","distinct(select(df, col1, col2))",0.148,0.573
"df.sort_values('col1', ascending=False)",head(df),0.266,0.384
"df.sort_values('col1', ascending=False)","df[1:5, 1:3]",0.17,0.411
"df.sort_values('col1', ascending=False)","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.113,0.452
"df.sort_values('col1', ascending=False)","head(subset(df, col1<5))",0.257,0.492
"df.sort_values('col1', ascending=False)","df[1:8, ]",0.212,0.434
"df.sort_values('col1', ascending=False)","df[is.na(df$col1), ]",0.102,0.517
"df.sort_values('col1', ascending=False)","arrange(df, col1, col2)",0.26,0.512
"df.sort_values('col1', ascending=False)","df[1:7, ]",0.216,0.434
"df.sort_values('col1', ascending=False)","select(df, col1:col3)",0.212,0.497
df[df['col3'] == 1]['col1'],df$col1[df$col3 == 1],0.327,0.711
df[df['col3'] == 1]['col1'],"df[df$col3 == 1, ]$col1",0.327,0.804
"df[df.col2.isin(['ID_0', 'ID_1'])]","slice(df, 1:8)",0.147,0.31
"df[df.col2.isin(['ID_0', 'ID_1'])]","filter(df, col1 == 1, col3 == 1)",0.261,0.434
"df[df.col2.isin(['ID_0', 'ID_1'])]","slice(df, 1:7)",0.146,0.31
"df[df.col2.isin(['ID_0', 'ID_1'])]","arrange(df, desc(col1))",0.113,0.475
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[order(-df$col1), ]",0.113,0.501
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[order(df$col1, df$col2), ]",0.106,0.529
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.162,0.548
"df[df.col2.isin(['ID_0', 'ID_1'])]",head(df),0.155,0.489
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[1:5, 1:3]",0.103,0.455
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",1.0,0.791
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[df$col1 == 1 & df$col3 == 1, ]",0.263,0.555
"df[df.col2.isin(['ID_0', 'ID_1'])]","head(subset(df, col1<5))",0.171,0.483
"df[df.col2.isin(['ID_0', 'ID_1'])]","head(df[df$col1 == 1 & df$col3 == 1, ])",0.263,0.472
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[1:8, ]",0.122,0.489
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[is.na(df$col1), ]",0.226,0.613
"df[df.col2.isin(['ID_0', 'ID_1'])]","arrange(df, col1, col2)",0.106,0.443
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[which(df$col1 == 1 & df$col3 == 1), ]",0.261,0.485
"df[df.col2.isin(['ID_0', 'ID_1'])]","df[1:7, ]",0.126,0.489
df.head(),"slice(df, 1:8)",0.742,0.501
df.head(),"slice(df, 1:7)",0.795,0.501
df.head(),"arrange(df, desc(col1))",0.262,0.375
df.head(),"select(df, col1, col2)",0.298,0.383
df.head(),"df[order(-df$col1), ]",0.262,0.535
df.head(),"df[order(df$col1, df$col2), ]",0.249,0.514
df.head(),"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.166,0.539
df.head(),"distinct(select(df, col1, col2))",0.299,0.43
df.head(),head(df),0.874,0.741
df.head(),"df[1:5, 1:3]",0.683,0.468
df.head(),"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.15,0.476
df.head(),"df[c(""col1"")]",0.137,0.584
df.head(),"head(subset(df, col1<5))",0.35,0.458
df.head(),"df[1:8, ]",0.569,0.491
df.head(),"df[is.na(df$col1), ]",0.103,0.605
df.head(),"distinct(select(df, col1))",0.132,0.434
df.head(),"select(df, -c(col1, col2))",0.153,0.375
df.head(),"arrange(df, col1, col2)",0.249,0.378
df.head(),"df[1:7, ]",0.651,0.491
df.head(),"select(df, col1:col3)",0.447,0.383
"df.sort_values(['col1', 'col2'])","slice(df, 1:8)",0.26,0.276
"df.sort_values(['col1', 'col2'])","slice(df, 1:7)",0.262,0.276
"df.sort_values(['col1', 'col2'])","arrange(df, desc(col1))",0.261,0.529
"df.sort_values(['col1', 'col2'])","select(df, col1, col2)",0.133,0.626
"df.sort_values(['col1', 'col2'])","df[order(-df$col1), ]",0.261,0.593
"df.sort_values(['col1', 'col2'])","df[order(df$col1, df$col2), ]",1.0,0.629
"df.sort_values(['col1', 'col2'])","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.11,0.485
"df.sort_values(['col1', 'col2'])","distinct(select(df, col1, col2))",0.138,0.617
"df.sort_values(['col1', 'col2'])",head(df),0.257,0.386
"df.sort_values(['col1', 'col2'])","df[1:5, 1:3]",0.161,0.415
"df.sort_values(['col1', 'col2'])","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.106,0.48
"df.sort_values(['col1', 'col2'])","head(subset(df, col1<5))",0.238,0.556
"df.sort_values(['col1', 'col2'])","df[1:8, ]",0.21,0.438
"df.sort_values(['col1', 'col2'])","arrange(df, col1, col2)",1.0,0.614
"df.sort_values(['col1', 'col2'])","df[1:7, ]",0.208,0.438
"df.sort_values(['col1', 'col2'])","select(df, col1:col3)",0.199,0.562
df['col1'][df['col3'] == 8],"df[2:3, ""col1""]",0.115,0.63
"df[['col1', 'col2']]","slice(df, 1:8)",0.384,0.426
"df[['col1', 'col2']]","slice(df, 1:7)",0.361,0.426
"df[['col1', 'col2']]","arrange(df, desc(col1))",0.143,0.515
"df[['col1', 'col2']]","select(df, col1, col2)",1.0,0.558
"df[['col1', 'col2']]","df[order(-df$col1), ]",0.143,0.575
"df[['col1', 'col2']]","df[order(df$col1, df$col2), ]",0.133,0.632
"df[['col1', 'col2']]","distinct(select(df, col1, col2))",0.862,0.486
"df[['col1', 'col2']]",head(df),0.333,0.393
"df[['col1', 'col2']]","df[1:5, 1:3]",0.338,0.573
"df[['col1', 'col2']]","df[c(""col1"")]",0.449,0.648
"df[['col1', 'col2']]","head(subset(df, col1<5))",0.169,0.387
"df[['col1', 'col2']]","df[1:8, ]",0.294,0.57
"df[['col1', 'col2']]","distinct(select(df, col1))",0.234,0.502
"df[['col1', 'col2']]","arrange(df, col1, col2)",0.133,0.625
"df[['col1', 'col2']]","df[1:7, ]",0.288,0.57
"df[['col1', 'col2']]","select(df, col1:col3)",0.667,0.509
df[['col1']].drop_duplicates(),"slice(df, 1:8)",0.136,0.384
df[['col1']].drop_duplicates(),"slice(df, 1:7)",0.132,0.384
df[['col1']].drop_duplicates(),"select(df, col1, col2)",0.234,0.461
df[['col1']].drop_duplicates(),"distinct(select(df, col1, col2))",0.249,0.494
df[['col1']].drop_duplicates(),head(df),0.135,0.386
df[['col1']].drop_duplicates(),"df[1:5, 1:3]",0.149,0.54
df[['col1']].drop_duplicates(),"df[c(""col1"")]",0.518,0.627
df[['col1']].drop_duplicates(),"df[1:8, ]",0.101,0.544
df[['col1']].drop_duplicates(),"distinct(select(df, col1))",1.0,0.478
df[['col1']].drop_duplicates(),"df[1:7, ]",0.103,0.544
df[['col1']].drop_duplicates(),"select(df, col1:col3)",0.156,0.461
df[(df.col1 == 1) & (df.col3 == 1)],"filter(df, col1 == 1, col3 == 1)",1.0,0.655
df[(df.col1 == 1) & (df.col3 == 1)],"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.226,0.547
df[(df.col1 == 1) & (df.col3 == 1)],"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.261,0.503
df[(df.col1 == 1) & (df.col3 == 1)],"df[df$col1 == 1 & df$col3 == 1, ]",0.684,0.893
df[(df.col1 == 1) & (df.col3 == 1)],"head(df[df$col1 == 1 & df$col3 == 1, ])",0.684,0.774
df[(df.col1 == 1) & (df.col3 == 1)],"df[is.na(df$col1), ]",0.323,0.66
df[(df.col1 == 1) & (df.col3 == 1)],"df[which(df$col1 == 1 & df$col3 == 1), ]",1.0,0.78
df.query('col1 == 1 & col3 == 1'),"filter(df, col1 == 1, col3 == 1)",1.0,0.737
df.query('col1 == 1 & col3 == 1'),"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.226,0.49
df.query('col1 == 1 & col3 == 1'),"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.261,0.427
df.query('col1 == 1 & col3 == 1'),"df[df$col1 == 1 & df$col3 == 1, ]",0.684,0.761
df.query('col1 == 1 & col3 == 1'),"head(df[df$col1 == 1 & df$col3 == 1, ])",0.684,0.755
df.query('col1 == 1 & col3 == 1'),"df[is.na(df$col1), ]",0.323,0.602
df.query('col1 == 1 & col3 == 1'),"df[which(df$col1 == 1 & df$col3 == 1), ]",1.0,0.672
"df.iloc[0:5, 0:3]","slice(df, 1:8)",0.556,0.492
"df.iloc[0:5, 0:3]","slice(df, 1:7)",0.596,0.492
"df.iloc[0:5, 0:3]","arrange(df, desc(col1))",0.198,0.394
"df.iloc[0:5, 0:3]","select(df, col1, col2)",0.397,0.392
"df.iloc[0:5, 0:3]","df[order(-df$col1), ]",0.198,0.524
"df.iloc[0:5, 0:3]","df[order(df$col1, df$col2), ]",0.189,0.449
"df.iloc[0:5, 0:3]","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.127,0.453
"df.iloc[0:5, 0:3]","distinct(select(df, col1, col2))",0.399,0.426
"df.iloc[0:5, 0:3]",head(df),0.655,0.396
"df.iloc[0:5, 0:3]","df[1:5, 1:3]",0.911,0.794
"df.iloc[0:5, 0:3]","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.112,0.5
"df.iloc[0:5, 0:3]","df[c(""col1"")]",0.183,0.563
"df.iloc[0:5, 0:3]","head(subset(df, col1<5))",0.261,0.404
"df.iloc[0:5, 0:3]","df[1:8, ]",0.427,0.458
"df.iloc[0:5, 0:3]","distinct(select(df, col1))",0.175,0.438
"df.iloc[0:5, 0:3]","select(df, -c(col1, col2))",0.198,0.374
"df.iloc[0:5, 0:3]","arrange(df, col1, col2)",0.189,0.45
"df.iloc[0:5, 0:3]","df[1:7, ]",0.488,0.458
df.iloc[:8],"slice(df, 1:8)",1.0,0.606
df.iloc[:8],"slice(df, 1:7)",0.926,0.53
df.iloc[:8],"arrange(df, desc(col1))",0.276,0.0
df.iloc[:8],"select(df, col1, col2)",0.384,0.363
df.iloc[:8],"df[order(-df$col1), ]",0.276,0.438
df.iloc[:8],"df[order(df$col1, df$col2), ]",0.26,0.447
df.iloc[:8],"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.155,0.451
df.iloc[:8],"distinct(select(df, col1, col2))",0.371,0.458
df.iloc[:8],head(df),0.842,0.405
df.iloc[:8],"df[1:5, 1:3]",0.489,0.636
df.iloc[:8],"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.147,0.467
df.iloc[:8],"df[c(""col1"")]",0.174,0.63
df.iloc[:8],"head(subset(df, col1<5))",0.39,0.378
df.iloc[:8],"df[1:8, ]",0.821,0.693
df.iloc[:8],"distinct(select(df, col1))",0.136,0.464
df.iloc[:8],"select(df, -c(col1, col2))",0.197,0.422
df.iloc[:8],"arrange(df, col1, col2)",0.26,0.38
df.iloc[:8],"df[1:7, ]",0.78,0.621
df.iloc[:8],"select(df, col1:col3)",0.575,0.438
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","slice(df, 1:8)",0.155,0.262
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","filter(df, col1 == 1, col3 == 1)",0.226,0.395
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","slice(df, 1:7)",0.155,0.262
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","arrange(df, desc(col1))",0.115,0.38
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[order(-df$col1), ]",0.115,0.463
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[order(df$col1, df$col2), ]",0.11,0.528
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",1.0,0.684
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]",head(df),0.16,0.477
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[1:5, 1:3]",0.116,0.479
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.162,0.557
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[df$col1 == 1 & df$col3 == 1, ]",0.219,0.54
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","head(subset(df, col1<5))",0.188,0.407
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","head(df[df$col1 == 1 & df$col3 == 1, ])",0.219,0.443
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[1:8, ]",0.125,0.477
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[is.na(df$col1), ]",0.231,0.493
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","arrange(df, col1, col2)",0.11,0.439
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[which(df$col1 == 1 & df$col3 == 1), ]",0.226,0.497
"df[df['col2'].notnull() & df.col2.isin(['ID_3', 'ID_4'])]","df[1:7, ]",0.129,0.477
df[['col1']].shape,"dim(df[c(""col1"")])",1.0,0.63
df[['col1']].shape,dim(df),0.5,0.466
"df[['col1', 'col2']].drop_duplicates()","slice(df, 1:8)",0.371,0.375
"df[['col1', 'col2']].drop_duplicates()","slice(df, 1:7)",0.353,0.375
"df[['col1', 'col2']].drop_duplicates()","arrange(df, desc(col1))",0.148,0.421
"df[['col1', 'col2']].drop_duplicates()","select(df, col1, col2)",0.862,0.464
"df[['col1', 'col2']].drop_duplicates()","df[order(-df$col1), ]",0.148,0.495
"df[['col1', 'col2']].drop_duplicates()","df[order(df$col1, df$col2), ]",0.138,0.579
"df[['col1', 'col2']].drop_duplicates()","distinct(select(df, col1, col2))",1.0,0.52
"df[['col1', 'col2']].drop_duplicates()",head(df),0.331,0.384
"df[['col1', 'col2']].drop_duplicates()","df[1:5, 1:3]",0.34,0.53
"df[['col1', 'col2']].drop_duplicates()","df[c(""col1"")]",0.388,0.571
"df[['col1', 'col2']].drop_duplicates()","head(subset(df, col1<5))",0.173,0.376
"df[['col1', 'col2']].drop_duplicates()","df[1:8, ]",0.285,0.536
"df[['col1', 'col2']].drop_duplicates()","distinct(select(df, col1))",0.249,0.457
"df[['col1', 'col2']].drop_duplicates()","arrange(df, col1, col2)",0.138,0.531
"df[['col1', 'col2']].drop_duplicates()","df[1:7, ]",0.282,0.536
"df[['col1', 'col2']].drop_duplicates()","select(df, col1:col3)",0.574,0.423
