Python,R,Python result,R result,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",6,0,0.25,"Row: 3:3, Col: 0:3",0.523
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"mslacc[1:7, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",6,0,0.25,"Row: 0:0, Col: 0:3",0.585
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"mslacc[1:8, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",7,0,0.25,"Row: 0:0, Col: 0:3",0.585
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"distinct(select(mslacc, col1))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1
1     3
2     6
3     4
4     8
5     1",4,3,1.0,"Row: 0:0, Col: 1:1",0.557
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",6,2,0.5,"Row: 6:6, Col: 0:1",0.611
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],head(mslacc),"   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",5,0,0.25,"Row: 0:0, Col: 0:3",0.454
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"select(mslacc, col1:col3)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",6,1,0.333,"Row: 1:1, Col: 1:3",0.561
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"mslacc[1:5, 1:3]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2
0     2     4  ID_7
1     4     1  ID_6
2     8     5  ID_1
3     4     5  ID_5
4     6     3  ID_8",4,1,0.333,"Row: 3:3, Col: 0:2",0.576
mslacc[['col1']],"distinct(select(mslacc, col1, col2))","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",0,1,1.0,"Row: 0:6, Col: 0:0",0.373
mslacc[['col1']],"arrange(mslacc, col1, col2)","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",0,3,0.143,"Row: 0:6, Col: 1:1",0.608
mslacc[['col1']],"select(mslacc, col1, col2)","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",0,1,1.0,"Row: 0:6, Col: 0:0",0.531
mslacc[['col1']],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2  col3
4     9     1  ID_2     1",6,3,1.0,"Row: 1:1, Col: 1:1",0.614
mslacc[['col1']],"arrange(mslacc, desc(col1))","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,3,0.429,"Row: 0:6, Col: 1:1",0.424
mslacc[['col1']],"mslacc[1:7, ]","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,3,1.0,"Row: 0:6, Col: 1:1",0.771
mslacc[['col1']],"mslacc[1:8, ]","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,3,1.0,"Row: 0:6, Col: 1:1",0.771
mslacc[['col1']],"distinct(select(mslacc, col1))","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col1
1     3
2     6
3     4
4     8
5     1",2,0,0.6,"Row: 0:4, Col: 0:0",0.379
mslacc[['col1']],"select(mslacc, -c(col1, col2))","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col3
0     2     7
1     4     8
2     8     1
3     4     8
4     6     3
5     3     5",1,1,0.333,"Row: 0:5, Col: 0:0",0.511
mslacc[['col1']],head(mslacc),"   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,3,1.0,"Row: 1:6, Col: 1:1",0.514
mslacc[['col1']],"select(mslacc, col1:col3)","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,2,1.0,"Row: 0:6, Col: 0:0",0.531
mslacc[['col1']],"mslacc[1:5, 1:3]","   col1
0     3
1     6
2     4
3     3
4     8
5     1
6     3","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,2,1.0,"Row: 2:6, Col: 1:1",0.721
"mslacc.sort_values(['col1', 'col2'])","distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col1  col2
1     7  ID_3
2     3  ID_3
3     5  ID_7",4,2,0.333,"Row: 0:2, Col: 1:2",0.615
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, col1, col2)","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",0,0,1.0,"Row: 0:6, Col: 0:3",0.64
"mslacc.sort_values(['col1', 'col2'])","select(mslacc, col1, col2)","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col1  col2
0     7  ID_3
1     3  ID_3
2     5  ID_7",4,2,0.333,"Row: 0:2, Col: 1:2",0.668
"mslacc.sort_values(['col1', 'col2'])","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col1  col2  col3
4     9     1  ID_2     1",6,0,0.25,"Row: 0:0, Col: 0:3",0.591
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, desc(col1))","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col1  col2  col3
1     3     7  ID_8     5
2     8     5  ID_1     1
3     4     5  ID_5     8
4     2     4  ID_7     7
5     6     3  ID_8     3
6     4     1  ID_6     8",1,0,0.167,"Row: 1:6, Col: 0:3",0.578
"mslacc.sort_values(['col1', 'col2'])","mslacc[1:7, ]","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","          col0        col1  col2        col3
0            2           4  ID_7           7
1            4           1  ID_6           8
2            8           5  ID_1           1
3            4           5  ID_5           8
4            6           3  ID_8           3
5            3           7  ID_8           5
NA -2147483648 -2147483648    NA -2147483648",0,0,0.107,"Row: 0:6, Col: 0:3",0.557
"mslacc.sort_values(['col1', 'col2'])","mslacc[1:8, ]","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","            col0        col1  col2        col3
0              2           4  ID_7           7
1              4           1  ID_6           8
2              8           5  ID_1           1
3              4           5  ID_5           8
4              6           3  ID_8           3
5              3           7  ID_8           5
NA   -2147483648 -2147483648    NA -2147483648
NA.1 -2147483648 -2147483648    NA -2147483648",1,0,0.25,"Row: 1:7, Col: 0:3",0.557
"mslacc.sort_values(['col1', 'col2'])","distinct(select(mslacc, col1))","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col1
1     3
2     6
3     4
4     8
5     1",2,3,0.4,"Row: 2:6, Col: 1:1",0.591
"mslacc.sort_values(['col1', 'col2'])","select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",0,2,0.143,"Row: 0:6, Col: 0:1",0.64
"mslacc.sort_values(['col1', 'col2'])",head(mslacc),"   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col1  col2  col3
0     2     4  ID_7     7
1     4     1  ID_6     8
2     8     5  ID_1     1
3     4     5  ID_5     8
4     6     3  ID_8     3
5     3     7  ID_8     5",1,0,0.125,"Row: 0:5, Col: 0:3",0.428
"mslacc.sort_values(['col1', 'col2'])","select(mslacc, col1:col3)","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col1  col2  col3
0     4  ID_7     7
1     1  ID_6     8
2     5  ID_1     1
3     5  ID_5     8
4     3  ID_8     3
5     7  ID_8     5",1,1,0.111,"Row: 0:5, Col: 1:3",0.616
"mslacc.sort_values(['col1', 'col2'])","mslacc[1:5, 1:3]","   col0  col1  col2  col3
5     8     1  ID_6     5
3     8     3  ID_6     6
0     0     3  ID_7     1
6     4     3  ID_8     0
2     3     4  ID_5     5
1     2     6  ID_4     3
4     5     8  ID_4     6","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,1,0.6,"Row: 2:6, Col: 0:2",0.524
mslacc.iloc[:7],"distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",0,2,1.0,"Row: 0:6, Col: 1:2",0.327
mslacc.iloc[:7],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
1     4     1  ID_6     8
2     6     3  ID_8     3
3     2     4  ID_7     7
4     8     5  ID_1     1
5     4     5  ID_5     8
6     3     7  ID_8     5",1,0,0.167,"Row: 0:5, Col: 0:3",0.493
mslacc.iloc[:7],"select(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",0,2,1.0,"Row: 0:6, Col: 1:2",0.492
mslacc.iloc[:7],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
4     9     1  ID_2     1",6,0,0.25,"Row: 0:0, Col: 0:3",0.593
mslacc.iloc[:7],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,0,0.357,"Row: 0:6, Col: 0:3",0.483
mslacc.iloc[:7],"mslacc[1:7, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,0,1.0,"Row: 0:6, Col: 0:3",0.833
mslacc.iloc[:7],"mslacc[1:8, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,0,1.0,"Row: 0:6, Col: 0:3",0.783
mslacc.iloc[:7],"distinct(select(mslacc, col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1
1     3
2     6
3     4
4     8
5     1",2,3,0.6,"Row: 0:4, Col: 1:1",0.335
mslacc.iloc[:7],"select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",0,2,0.5,"Row: 0:6, Col: 0:1",0.461
mslacc.iloc[:7],head(mslacc),"   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",1,0,1.0,"Row: 0:5, Col: 0:3",0.522
mslacc.iloc[:7],"select(mslacc, col1:col3)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",0,1,1.0,"Row: 0:6, Col: 1:3",0.544
mslacc.iloc[:7],"mslacc[1:5, 1:3]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2
0     0     3  ID_7
1     2     6  ID_4
2     3     4  ID_5
3     8     3  ID_6
4     5     8  ID_4",2,1,1.0,"Row: 0:4, Col: 0:2",0.733
mslacc.iloc[:8],"distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",0,2,1.0,"Row: 0:6, Col: 1:2",0.327
mslacc.iloc[:8],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
1     4     1  ID_6     8
2     6     3  ID_8     3
3     2     4  ID_7     7
4     8     5  ID_1     1
5     4     5  ID_5     8
6     3     7  ID_8     5",1,0,0.167,"Row: 0:5, Col: 0:3",0.493
mslacc.iloc[:8],"select(mslacc, col1, col2)","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",0,2,1.0,"Row: 0:6, Col: 1:2",0.492
mslacc.iloc[:8],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
4     9     1  ID_2     1",6,0,0.25,"Row: 0:0, Col: 0:3",0.593
mslacc.iloc[:8],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",0,0,0.357,"Row: 0:6, Col: 0:3",0.483
mslacc.iloc[:8],"mslacc[1:7, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",0,0,1.0,"Row: 0:6, Col: 0:3",0.783
mslacc.iloc[:8],"mslacc[1:8, ]","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",1,0,1.0,"Row: 0:6, Col: 0:3",0.833
